time,expected
0.0,0.0
0.001,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.005,0.0
0.006,0.0
0.007,0.0
0.008,0.0
0.009000000000000001,0.0
0.01,0.0
0.011,3.906250000000001E-26
0.012,4.664453125000001E-25
0.013000000000000001,3.016987734375001E-24
0.014,1.4010053152578127E-23
0.015,5.2279389898000054E-23
0.016,1.6647152255813429E-22
0.017,4.693502870509087E-22
0.018000000000000002,1.2009668522757855E-21
0.019,2.8382726020844158E-21
0.02,6.276261990953995E-21
0.021,1.3115348476753234E-20
0.022,2.6101730909935222E-20
0.023,4.978234826754368E-20
0.024,9.145400969573236E-20
0.025,1.625077997149252E-19
0.026000000000000002,2.80295281895542E-19
0.027,4.706727552134009E-19
0.028,7.714142613500045E-19
0.029,1.2367236116827581E-18
0.03,1.943120819230586E-18
0.031,2.997029408180542E-18
0.032,4.544448560682967E-18
0.033,6.783158379217648E-18
0.034,9.97797812681149E-18
0.035,1.4479676591511555E-17
0.036000000000000004,2.0748221140595276E-17
0.037,2.938114801796409E-17
0.038,4.114794142720693E-17
0.039,5.703142336255914E-17
0.04,7.827728042668384E-17
0.041,1.0645298843002653E-16
0.042,1.4351754081877065E-16
0.043000000000000003,1.9190354333898242E-16
0.044,2.546134052190504E-16
0.045,3.3533153693990633E-16
0.046,4.385546567543197E-16
0.047,5.697425128964319E-16
0.048,7.354915462658825E-16
0.049,9.437342496436791E-16
0.05,1.2039672245563163E-15
0.051000000000000004,1.5275111960976605E-15
0.052000000000000005,1.9278065196817075E-15
0.053,2.4207480021597182E-15
0.054,3.0250631633078126E-15
0.055,3.762738382679839E-15
0.056,4.659497711517613E-15
0.057,5.7453394800970296E-15
0.058,7.055136197832313E-15
0.059000000000000004,8.629303626917835E-15
0.06,1.0514545310500784E-14
0.061,1.2764679253578984E-14
0.062,1.5441553889223778E-14
0.063,1.861606091454267E-14
0.064,2.2369253050210873E-14
0.065,2.679357526459344E-14
0.066,3.199421850861292E-14
0.067,3.809060553074387E-14
0.068,4.521801888296944E-14
0.069,5.3529381788341385E-14
0.07,6.319720311905162E-14
0.07100000000000001,7.441569833074538E-14
0.07200000000000001,8.74030988142665E-14
0.073,1.0240416276018862E-13
0.074,1.1969290128441055E-13
0.075,1.395755342348135E-13
0.076,1.6239369078952363E-13
0.077,1.8852787066670684E-13
0.078,2.184011824940363E-13
0.079,2.524833766330132E-13
0.08,2.912951905191488E-13
0.081,3.3541302536359123E-13
0.082,3.8547397386505806E-13
0.083,4.421812194028248E-13
